Order ID,Product ID,Product Name,Category,Sub-Category,Price
CA-2014-104269,FUR-CH-10004063,Global Deluxe High-Back Manager's Chair,Furniture,Chairs,228.784
CA-2014-139892,FUR-CH-10004287,SAFCO Arco Folding Chair,Furniture,Chairs,193.34
CA-2014-118962,FUR-CH-10003817,"Global Value Steno Chair, Gray",Furniture,Chairs,48.592
US-2015-101511,FUR-CH-10004698,"Padded Folding Chairs, Black, 4/Carton",Furniture,Chairs,56.686
CA-2015-102281,FUR-BO-10002613,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",Furniture,Bookcases,224.784
CA-2015-102281,FUR-BO-10002545,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",Furniture,Bookcases,208.784
CA-2014-133690,FUR-TA-10004289,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,Furniture,Tables,109.375
CA-2017-126382,FUR-FU-10002960,"Eldon 200 Class Desk Accessories, Burgundy",Furniture,Furnishings,5.024
CA-2015-146262,FUR-BO-10004695,O'Sullivan 2-Door Barrister Bookcase in Odessa Pine,Furniture,Bookcases,90.49
CA-2015-169397,FUR-FU-10000087,"Executive Impressions 14"" Two-Color Numerals Wall Clock",Furniture,Furnishings,18.176
CA-2015-163055,FUR-TA-10003748,Bevis 36 x 72 Conference Tables,Furniture,Tables,124.49000000000001
US-2015-145436,FUR-CH-10004860,Global Low Back Tilter Chair,Furniture,Chairs,80.784
US-2015-145436,FUR-CH-10004477,"Global Push Button Manager's Chair, Indigo",Furniture,Chairs,48.712
US-2017-100930,FUR-TA-10001705,Bush Advantage Collection Round Conference Table,Furniture,Tables,116.93
US-2017-100930,FUR-TA-10003473,Bretford Rectangular Conference Table Tops,Furniture,Tables,206.8715
US-2017-100930,FUR-FU-10004017,"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""",Furniture,Furnishings,86.024
CA-2016-157749,FUR-FU-10000576,Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base,Furniture,Furnishings,83.936
CA-2016-157749,FUR-FU-10004351,Staple-based wall hangings,Furniture,Furnishings,3.8960000000000004
CA-2016-157749,FUR-TA-10002607,KI Conference Tables,Furniture,Tables,35.445
CA-2016-157749,FUR-FU-10002505,Eldon 100 Class Desk Accessories,Furniture,Furnishings,1.3479999999999999
CA-2014-131926,FUR-CH-10004063,Global Deluxe High-Back Manager's Chair,Furniture,Chairs,285.97999999999996
CA-2016-154739,FUR-CH-10002965,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",Furniture,Chairs,160.784
US-2015-159982,FUR-FU-10002505,Eldon 100 Class Desk Accessories,Furniture,Furnishings,1.3479999999999999
CA-2015-155334,FUR-FU-10003274,Regeneration Desk Collection,Furniture,Furnishings,1.76
CA-2015-130890,FUR-TA-10002903,"Bevis Round Bullnose 29"" High Table Top",Furniture,Tables,207.76799999999997
CA-2016-110772,FUR-BO-10004709,"Bush Westfield Collection Bookcases, Medium Cherry Finish",Furniture,Bookcases,28.99
CA-2014-111451,FUR-FU-10004091,"Howard Miller 13"" Diameter Goldtone Round Wall Clock",Furniture,Furnishings,37.552
CA-2014-111451,FUR-CH-10001891,Global Deluxe Office Fabric Chairs,Furniture,Chairs,76.784
CA-2014-111451,FUR-FU-10002918,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,Furniture,Furnishings,72.784
CA-2016-142545,FUR-FU-10001861,"Floodlight Indoor Halogen Bulbs, 1 Bulb per Pack, 60 Watts",Furniture,Furnishings,19.4
US-2017-152380,FUR-TA-10002533,BPI Conference Tables,Furniture,Tables,73.02499999999999
CA-2015-144253,FUR-FU-10002671,Electrix 20W Halogen Replacement Bulb for Zoom-In Desk Lamp,Furniture,Furnishings,13.4
CA-2016-142902,FUR-FU-10001918,C-Line Cubicle Keepers Polyproplyene Holder With Velcro Backings,Furniture,Furnishings,3.784
CA-2016-142902,FUR-CH-10004086,Hon 4070 Series Pagoda Armless Upholstered Stacking Chairs,Furniture,Chairs,233.384
CA-2016-142902,FUR-FU-10001756,"Eldon Expressions Desk Accessory, Wood Photo Frame, Mahogany",Furniture,Furnishings,15.232
CA-2014-120887,FUR-FU-10001588,"Deflect-o SuperTray Unbreakable Stackable Tray, Letter, Black",Furniture,Furnishings,29.180000000000003
CA-2014-164973,FUR-CH-10002602,DMI Arturo Collection Mission-style Design Wood Chair,Furniture,Chairs,135.882
CA-2017-153339,FUR-FU-10001967,Telescoping Adjustable Floor Lamp,Furniture,Furnishings,15.992
US-2016-141544,FUR-CH-10003312,Hon 2090 ÒPillow SoftÓ Series Mid Back Swivel/Tilt Chairs,Furniture,Chairs,196.686
CA-2014-129924,FUR-TA-10004575,Hon 5100 Series Wood Tables,Furniture,Tables,232.784
CA-2016-138520,FUR-BO-10002268,Sauder Barrister Bookcases,Furniture,Bookcases,64.784
CA-2017-144904,FUR-CH-10000785,Global Ergonomic Managers Chair,Furniture,Chairs,162.882
CA-2017-144904,FUR-FU-10000023,Eldon Wave Desk Accessories,Furniture,Furnishings,5.89
CA-2016-155516,FUR-BO-10002545,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",Furniture,Bookcases,260.98
US-2017-134481,FUR-TA-10004915,"Office Impressions End Table, 20-1/2""H x 24""W x 20""D",Furniture,Tables,212.632
US-2015-168935,FUR-TA-10000617,"Hon Practical Foundations 30 x 60 Training Table, Light Gray/Charcoal",Furniture,Tables,125.15249999999999
CA-2015-122756,FUR-FU-10001935,3M Hangers With Command Adhesive,Furniture,Furnishings,2.96
CA-2016-108987,FUR-BO-10004834,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",Furniture,Bookcases,599.0664
CA-2017-117457,FUR-TA-10002041,"Bevis Round Conference Table Top, X-Base",Furniture,Tables,143.432
CA-2017-117457,FUR-BO-10001972,O'Sullivan 4-Shelf Bookcase in Odessa Pine,Furniture,Bookcases,102.833
CA-2017-117457,FUR-CH-10003956,Novimex High-Tech Fabric Mesh Task Chair,Furniture,Chairs,56.784
CA-2017-142636,FUR-CH-10001891,Global Deluxe Office Fabric Chairs,Furniture,Chairs,76.784
CA-2016-148796,FUR-CH-10004886,Bevis Steel Folding Chairs,Furniture,Chairs,76.76
CA-2017-125388,FUR-FU-10004712,"Westinghouse Mesh Shade Clip-On Gooseneck Lamp, Black",Furniture,Furnishings,14.14
CA-2017-155705,FUR-CH-10000015,Hon Multipurpose Stacking Arm Chairs,Furniture,Chairs,216.6
CA-2017-149160,FUR-FU-10003347,Coloredge Poster Frame,Furniture,Furnishings,14.2
CA-2017-157252,FUR-CH-10003396,Global Deluxe Steno Chair,Furniture,Chairs,69.282
CA-2016-115756,FUR-FU-10000246,Aluminum Document Frame,Furniture,Furnishings,12.22
CA-2016-115756,FUR-CH-10002372,Office Star - Ergonomically Designed Knee Chair,Furniture,Chairs,80.98
CA-2017-154214,FUR-FU-10000206,"GE General Purpose, Extra Long Life, Showcase & Floodlight Incandescent Bulbs",Furniture,Furnishings,2.91
CA-2017-147277,FUR-TA-10001539,Chromcraft Rectangular Conference Tables,Furniture,Tables,142.182
US-2014-110674,FUR-CH-10000225,"Global Geo Office Task Chair, Gray",Furniture,Chairs,64.784
US-2016-157945,FUR-CH-10002331,Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms,Furniture,Chairs,249.186
CA-2016-109869,FUR-FU-10000023,Eldon Wave Desk Accessories,Furniture,Furnishings,4.712
CA-2016-109869,FUR-TA-10001889,Bush Advantage Collection Racetrack Conference Table,Furniture,Tables,212.10500000000002
US-2015-101399,FUR-FU-10002918,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,Furniture,Furnishings,36.392
CA-2017-154907,FUR-BO-10002824,Bush Mission Pointe Library,Furniture,Bookcases,102.6664
CA-2014-144666,FUR-BO-10001601,"Sauder Mission Library with Doors, Fruitwood Finish",Furniture,Bookcases,111.333
CA-2016-152632,FUR-FU-10002671,Electrix 20W Halogen Replacement Bulb for Zoom-In Desk Lamp,Furniture,Furnishings,13.4
CA-2017-140963,FUR-BO-10001337,O'Sullivan Living Dimensions 2-Shelf Bookcases,Furniture,Bookcases,102.833
US-2016-120929,FUR-TA-10001857,Balt Solid Wood Rectangular Table,Furniture,Tables,63.294000000000004
CA-2016-126158,FUR-FU-10004864,"Howard Miller 14-1/2"" Diameter Chrome Round Wall Clock",Furniture,Furnishings,63.94
CA-2016-126158,FUR-CH-10002602,DMI Arturo Collection Mission-style Design Wood Chair,Furniture,Chairs,120.784
CA-2016-126158,FUR-FU-10000073,Deflect-O Glasstique Clear Desk Accessories,Furniture,Furnishings,7.699999999999999
US-2016-105578,FUR-CH-10001215,Global Troy Executive Leather Low-Back Tilter,Furniture,Chairs,400.784
CA-2017-135307,FUR-FU-10001290,Executive Impressions Supervisor Wall Clock,Furniture,Furnishings,42.1
CA-2017-145142,FUR-TA-10001857,Balt Solid Wood Rectangular Table,Furniture,Tables,105.49
CA-2017-113558,FUR-CH-10003379,Global Commerce Series High-Back Swivel/Tilt Chairs,Furniture,Chairs,227.984
CA-2017-113558,FUR-FU-10001756,"Eldon Expressions Desk Accessory, Wood Photo Frame, Mahogany",Furniture,Furnishings,15.232
CA-2015-102848,FUR-CH-10000595,Safco Contoured Stacking Chairs,Furniture,Chairs,190.72
US-2017-129441,FUR-FU-10000448,Tenex Chairmats For Use With Carpeted Floors,Furniture,Furnishings,15.979999999999999
CA-2015-134894,FUR-CH-10002647,"Situations Contoured Folding Chairs, 4/Set",Furniture,Chairs,70.98
CA-2014-103849,FUR-FU-10000723,"Deflect-o EconoMat Studded, No Bevel Mat for Low Pile Carpeting",Furniture,Furnishings,16.528
CA-2016-136406,FUR-CH-10002024,HON 5400 Series Task Chairs for Big and Tall,Furniture,Chairs,560.784
CA-2017-112774,FUR-FU-10003039,"Howard Miller 11-1/2"" Diameter Grantwood Wall Clock",Furniture,Furnishings,34.504
CA-2016-113243,FUR-TA-10004256,Bretford ÒJust In TimeÓ Height-Adjustable Multi-Task Work Tables,Furniture,Tables,333.92
CA-2017-118731,FUR-FU-10003347,Coloredge Poster Frame,Furniture,Furnishings,14.200000000000001
CA-2014-145576,FUR-FU-10004020,Advantus Panel Wall Acrylic Frame,Furniture,Furnishings,4.376
CA-2017-156951,FUR-CH-10004997,Hon Every-Day Series Multi-Task Chairs,Furniture,Chairs,150.384
CA-2017-118640,FUR-FU-10001475,"Contract Clock, 14"", Brown",Furniture,Furnishings,8.792
CA-2015-128139,FUR-CH-10003956,Novimex High-Tech Fabric Mesh Task Chair,Furniture,Chairs,70.98
CA-2014-131450,FUR-FU-10001979,Dana Halogen Swing-Arm Architect Lamp,Furniture,Furnishings,40.97
CA-2014-149958,FUR-FU-10001756,"Eldon Expressions Desk Accessory, Wood Photo Frame, Mahogany",Furniture,Furnishings,15.232
CA-2017-117947,FUR-FU-10003849,"DAX Metal Frame, Desktop, Stepped-Edge",Furniture,Furnishings,20.24
CA-2017-117947,FUR-FU-10000010,"DAX Value U-Channel Document Frames, Easel Back",Furniture,Furnishings,4.97
CA-2017-117947,FUR-FU-10000521,"Seth Thomas 14"" Putty-Colored Wall Clock",Furniture,Furnishings,29.34
CA-2015-138009,FUR-CH-10004853,"Global Manager's Adjustable Task Chair, Storm",Furniture,Chairs,150.98
CA-2017-163020,FUR-FU-10000221,"Master Caster Door Stop, Brown",Furniture,Furnishings,5.08
CA-2015-168004,FUR-CH-10001482,Office Star - Mesh Screen back chair with Vinyl seat,Furniture,Chairs,130.98
CA-2016-115917,FUR-FU-10000576,Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base,Furniture,Furnishings,209.84
CA-2016-147067,FUR-FU-10000732,Eldon 200 Class Desk Accessories,Furniture,Furnishings,6.28
CA-2016-160745,FUR-FU-10001935,3M Hangers With Command Adhesive,Furniture,Furnishings,3.7
US-2016-156097,FUR-CH-10001215,Global Troy Executive Leather Low-Back Tilter,Furniture,Chairs,350.686
CA-2015-146563,FUR-TA-10001768,Hon Racetrack Conference Tables,Furniture,Tables,183.757
CA-2014-156314,FUR-FU-10003096,"Master Giant Foot Doorstop, Safety Yellow",Furniture,Furnishings,6.072
US-2017-106663,FUR-FU-10002759,12-1/2 Diameter Round Wall Clock,Furniture,Furnishings,7.992
US-2017-106663,FUR-TA-10000688,"Chromcraft Bull-Nose Wood Round Conference Table Top, Wood Base",Furniture,Tables,108.925
US-2017-119438,FUR-FU-10003553,"Howard Miller 13-1/2"" Diameter Rosebrook Wall Clock",Furniture,Furnishings,27.508
CA-2017-161480,FUR-BO-10004015,"Bush Andora Bookcase, Maple/Graphite Gray Finish",Furniture,Bookcases,95.992
US-2014-117135,FUR-FU-10004071,Luxo Professional Magnifying Clamp-On Fluorescent Lamps,Furniture,Furnishings,104.01
CA-2017-114552,FUR-FU-10002960,"Eldon 200 Class Desk Accessories, Burgundy",Furniture,Furnishings,5.024
CA-2016-163755,FUR-FU-10003394,"Tenex ""The Solids"" Textured Chair Mats",Furniture,Furnishings,69.96
CA-2015-142027,FUR-TA-10002774,Laminate Occasional Tables,Furniture,Tables,123.30399999999999
CA-2014-112158,FUR-BO-10003272,O'Sullivan Living Dimensions 5-Shelf Bookcases,Furniture,Bookcases,176.784
CA-2014-130092,FUR-FU-10000010,"DAX Value U-Channel Document Frames, Easel Back",Furniture,Furnishings,4.97
CA-2017-108910,FUR-FU-10002253,"Howard Miller 13"" Diameter Pewter Finish Round Wall Clock",Furniture,Furnishings,34.352
CA-2014-104472,FUR-FU-10000246,Aluminum Document Frame,Furniture,Furnishings,12.219999999999999
CA-2016-142335,FUR-TA-10000198,Chromcraft Bull-Nose Wood Oval Conference Tables & Bases,Furniture,Tables,550.98
CA-2014-117429,FUR-FU-10000222,"Seth Thomas 16"" Steel Case Clock",Furniture,Furnishings,25.983999999999998
US-2016-150861,FUR-TA-10002228,"Bevis Traditional Conference Table Top, Plinth Base",Furniture,Tables,200.016
US-2016-150861,FUR-CH-10002965,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",Furniture,Chairs,180.88199999999998
CA-2017-131954,FUR-BO-10001619,O'Sullivan Cherrywood Estates Traditional Bookcase,Furniture,Bookcases,84.98
CA-2014-124429,FUR-TA-10002607,KI Conference Tables,Furniture,Tables,56.712
CA-2017-126074,FUR-FU-10003577,Nu-Dell Leatherette Frames,Furniture,Furnishings,14.340000000000002
CA-2015-135272,FUR-FU-10002759,12-1/2 Diameter Round Wall Clock,Furniture,Furnishings,19.98
CA-2016-140928,FUR-TA-10001095,Chromcraft Round Conference Tables,Furniture,Tables,95.8595
CA-2014-106810,FUR-FU-10004306,Electrix Halogen Magnifier Lamp,Furniture,Furnishings,155.44
CA-2016-157245,FUR-CH-10003746,Hon 4070 Series Pagoda Round Back Stacking Chairs,Furniture,Chairs,320.98
CA-2017-104220,FUR-FU-10002597,"C-Line Magnetic Cubicle Keepers, Clear Polypropylene",Furniture,Furnishings,4.9399999999999995
CA-2015-144267,FUR-CH-10002335,Hon GuestStacker Chair,Furniture,Chairs,181.336
US-2015-157014,FUR-BO-10004409,"Safco Value Mate Series Steel Bookcases, Baked Enamel Finish on Steel, Gray",Furniture,Bookcases,35.49
CA-2015-154620,FUR-CH-10004675,"Lifetime Advantage Folding Chairs, 4/Carton",Furniture,Chairs,174.464
CA-2015-115938,FUR-CH-10003199,Office Star - Contemporary Task Swivel Chair,Furniture,Chairs,110.98
CA-2015-101910,FUR-CH-10002647,"Situations Contoured Folding Chairs, 4/Set",Furniture,Chairs,56.784000000000006
CA-2017-105809,FUR-FU-10004090,"Executive Impressions 14"" Contract Wall Clock",Furniture,Furnishings,22.23
CA-2017-135783,FUR-FU-10000794,"Eldon Stackable Tray, Side-Load, Legal, Smoke",Furniture,Furnishings,9.14
CA-2015-140921,FUR-FU-10003347,Coloredge Poster Frame,Furniture,Furnishings,14.2
CA-2014-151995,FUR-TA-10002903,"Bevis Round Bullnose 29"" High Table Top",Furniture,Tables,259.71
CA-2017-143686,FUR-FU-10000794,"Eldon Stackable Tray, Side-Load, Legal, Smoke",Furniture,Furnishings,9.14
CA-2014-140858,FUR-CH-10001394,Global Leather Executive Chair,Furniture,Chairs,245.69299999999998
CA-2017-129462,FUR-CH-10000665,"Global Airflow Leather Mesh Back Chair, Black",Furniture,Chairs,150.98
CA-2015-100454,FUR-BO-10001519,O'Sullivan 3-Shelf Heavy-Duty Bookcases,Furniture,Bookcases,46.512
CA-2015-114300,FUR-CH-10001891,Global Deluxe Office Fabric Chairs,Furniture,Chairs,95.98
CA-2017-107503,FUR-FU-10003878,"Linden 10"" Round Wall Clock, Black",Furniture,Furnishings,12.224
CA-2016-123274,FUR-FU-10004090,"Executive Impressions 14"" Contract Wall Clock",Furniture,Furnishings,22.23
CA-2014-149020,FUR-FU-10000965,"Howard Miller 11-1/2"" Diameter Ridgewood Wall Clock",Furniture,Furnishings,51.94
CA-2016-116736,FUR-FU-10004017,"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""",Furniture,Furnishings,107.52999999999999
CA-2017-111689,FUR-CH-10004287,SAFCO Arco Folding Chair,Furniture,Chairs,248.58
CA-2016-165148,FUR-FU-10000732,Eldon 200 Class Desk Accessories,Furniture,Furnishings,6.279999999999999
CA-2014-134061,FUR-FU-10001424,Dax Clear Box Frame,Furniture,Furnishings,8.73
CA-2017-143259,FUR-BO-10003441,"Bush Westfield Collection Bookcases, Fully Assembled",Furniture,Bookcases,80.784
CA-2015-133627,FUR-FU-10001935,3M Hangers With Command Adhesive,Furniture,Furnishings,3.6999999999999997
CA-2017-102519,FUR-FU-10004091,"Howard Miller 13"" Diameter Goldtone Round Wall Clock",Furniture,Furnishings,46.94
US-2014-141215,FUR-TA-10001520,"Lesro Sheffield Collection Coffee Table, End Table, Center Table, Corner Table",Furniture,Tables,49.959
US-2014-141215,FUR-CH-10003379,Global Commerce Series High-Back Swivel/Tilt Chairs,Furniture,Chairs,199.486
CA-2016-142958,FUR-TA-10000577,Bretford CR4500 Series Slim Rectangular Table,Furniture,Tables,278.568
US-2015-140200,FUR-TA-10002356,Bevis Boat-Shaped Conference Table,Furniture,Tables,131.055
US-2017-110576,FUR-FU-10003601,"Deflect-o RollaMat Studded, Beveled Mat for Medium Pile Carpeting",Furniture,Furnishings,73.784
US-2017-110576,FUR-FU-10000576,Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base,Furniture,Furnishings,167.87199999999999
US-2017-110576,FUR-TA-10004154,"Riverside Furniture Oval Coffee Table, Oval End Table, End Table with Drawer",Furniture,Tables,172.11
CA-2017-131156,FUR-FU-10001940,Staple-based wall hangings,Furniture,Furnishings,6.368
CA-2017-136539,FUR-BO-10004709,"Bush Westfield Collection Bookcases, Medium Cherry Finish",Furniture,Bookcases,39.4264
CA-2015-112571,FUR-FU-10004188,Luxo Professional Combination Clamp-On Lamps,Furniture,Furnishings,102.3
CA-2017-152142,FUR-CH-10002965,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",Furniture,Chairs,160.784
CA-2014-115791,FUR-FU-10001095,DAX Black Cherry Wood-Tone Poster Frame,Furniture,Furnishings,21.184
CA-2016-144939,FUR-CH-10003199,Office Star - Contemporary Task Swivel Chair,Furniture,Chairs,99.882
CA-2014-163419,FUR-CH-10000665,"Global Airflow Leather Mesh Back Chair, Black",Furniture,Chairs,120.78399999999999
CA-2017-167899,FUR-FU-10004071,Luxo Professional Magnifying Clamp-On Fluorescent Lamps,Furniture,Furnishings,104.00999999999999
CA-2015-153549,FUR-CH-10004086,Hon 4070 Series Pagoda Armless Upholstered Stacking Chairs,Furniture,Chairs,233.38400000000001
CA-2015-162537,FUR-FU-10002885,Magna Visual Magnetic Picture Hangers,Furniture,Furnishings,4.82
CA-2015-162537,FUR-FU-10001918,C-Line Cubicle Keepers Polyproplyene Holder With Velcro Backings,Furniture,Furnishings,4.7299999999999995
CA-2015-124891,FUR-TA-10002903,"Bevis Round Bullnose 29"" High Table Top",Furniture,Tables,155.826
CA-2014-158540,FUR-FU-10001602,"Eldon Delta Triangular Chair Mat, 52"" x 58"", Clear",Furniture,Furnishings,37.93
CA-2017-118437,FUR-FU-10004848,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",Furniture,Furnishings,51.75
US-2015-126214,FUR-TA-10003748,Bevis 36 x 72 Conference Tables,Furniture,Tables,124.49
CA-2015-108665,FUR-FU-10002191,G.E. Halogen Desk Lamp Bulbs,Furniture,Furnishings,6.98
CA-2015-108665,FUR-FU-10000965,"Howard Miller 11-1/2"" Diameter Ridgewood Wall Clock",Furniture,Furnishings,51.94
CA-2015-124450,FUR-CH-10000309,Global Comet Stacking Arm Chair,Furniture,Chairs,422.51
CA-2014-163552,FUR-CH-10003379,Global Commerce Series High-Back Swivel/Tilt Chairs,Furniture,Chairs,284.98
CA-2014-163552,FUR-FU-10000629,9-3/4 Diameter Round Wall Clock,Furniture,Furnishings,13.79
CA-2016-113061,FUR-FU-10003975,Eldon Advantage Chair Mats for Low to Medium Pile Carpets,Furniture,Furnishings,43.31
CA-2016-127670,FUR-TA-10001095,Chromcraft Round Conference Tables,Furniture,Tables,174.29
CA-2016-102981,FUR-BO-10001811,"Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors",Furniture,Bookcases,240.784
CA-2017-152702,FUR-CH-10002304,"Global Stack Chair without Arms, Black",Furniture,Chairs,18.186
CA-2016-169103,FUR-FU-10004006,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",Furniture,Furnishings,34.12
US-2015-153500,FUR-FU-10000293,Eldon Antistatic Chair Mats for Low to Medium Pile Carpets,Furniture,Furnishings,84.232
US-2015-153500,FUR-FU-10004460,"Howard Miller 12"" Round Wall Clock",Furniture,Furnishings,31.432
CA-2015-110667,FUR-FU-10004622,Eldon Advantage Foldable Chair Mats for Low Pile Carpets,Furniture,Furnishings,54.2
US-2015-125374,FUR-CH-10003396,Global Deluxe Steno Chair,Furniture,Chairs,53.886
CA-2016-157686,FUR-CH-10001146,"Global Value Mid-Back Manager's Chair, Gray",Furniture,Chairs,48.712
CA-2015-110016,FUR-CH-10002880,"Global High-Back Leather Tilter, Burgundy",Furniture,Chairs,122.99000000000001
US-2016-143819,FUR-TA-10001095,Chromcraft Round Conference Tables,Furniture,Tables,104.574
CA-2017-158407,FUR-FU-10001967,Telescoping Adjustable Floor Lamp,Furniture,Furnishings,15.992
CA-2014-159338,FUR-TA-10004147,Hon 4060 Series Tables,Furniture,Tables,89.568
CA-2016-107216,FUR-FU-10000206,"GE General Purpose, Extra Long Life, Showcase & Floodlight Incandescent Bulbs",Furniture,Furnishings,2.91
US-2016-110156,FUR-FU-10000206,"GE General Purpose, Extra Long Life, Showcase & Floodlight Incandescent Bulbs",Furniture,Furnishings,1.164
CA-2017-140585,FUR-BO-10002206,"Bush Saratoga Collection 5-Shelf Bookcase, Hanover Cherry, *Special Order",Furniture,Bookcases,119.833
US-2014-147627,FUR-FU-10003194,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",Furniture,Furnishings,9.65
US-2014-147627,FUR-CH-10002331,Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms,Furniture,Chairs,355.98
CA-2016-112102,FUR-TA-10004086,KI Adjustable-Height Table,Furniture,Tables,85.98
CA-2014-146969,FUR-FU-10004188,Luxo Professional Combination Clamp-On Lamps,Furniture,Furnishings,102.3
